"Step","go-20231026_131658 - train_loss","go-20231026_131658 - train_loss__MIN","go-20231026_131658 - train_loss__MAX","ruby-20231025_235507 - train_loss","ruby-20231025_235507 - train_loss__MIN","ruby-20231025_235507 - train_loss__MAX","javascript-20231025_172654 - train_loss","javascript-20231025_172654 - train_loss__MIN","javascript-20231025_172654 - train_loss__MAX","java-20231025_112721 - train_loss","java-20231025_112721 - train_loss__MIN","java-20231025_112721 - train_loss__MAX","php-20231016_001159 - train_loss","php-20231016_001159 - train_loss__MIN","php-20231016_001159 - train_loss__MAX","python-20231015_143112 - train_loss","python-20231015_143112 - train_loss__MIN","python-20231015_143112 - train_loss__MAX"
"860","3.7921","3.7921","3.7921","3.7964","3.7964","3.7964","3.793","3.793","3.793","3.7929","3.7929","3.7929","4.9774","4.9774","4.9774","5.4548","5.4548","5.4548"
"870","3.7878","3.7878","3.7878","3.792","3.792","3.792","3.7886","3.7886","3.7886","3.7886","3.7886","3.7886","4.9615","4.9615","4.9615","5.4397","5.4397","5.4397"
"880","3.7822","3.7822","3.7822","3.7864","3.7864","3.7864","3.783","3.783","3.783","3.783","3.783","3.783","4.9465","4.9465","4.9465","5.4259","5.4259","5.4259"
"890","3.7788","3.7788","3.7788","3.7831","3.7831","3.7831","3.7796","3.7796","3.7796","3.7796","3.7796","3.7796","4.9321","4.9321","4.9321","5.4115","5.4115","5.4115"
"900","3.7738","3.7738","3.7738","3.778","3.778","3.778","3.7746","3.7746","3.7746","3.7746","3.7746","3.7746","4.9174","4.9174","4.9174","5.397","5.397","5.397"
"910","3.7692","3.7692","3.7692","3.7734","3.7734","3.7734","3.7699","3.7699","3.7699","3.7699","3.7699","3.7699","4.9028","4.9028","4.9028","5.3833","5.3833","5.3833"
"920","3.7626","3.7626","3.7626","3.7669","3.7669","3.7669","3.7633","3.7633","3.7633","3.7634","3.7634","3.7634","4.8888","4.8888","4.8888","5.3697","5.3697","5.3697"
"930","3.7602","3.7602","3.7602","3.7645","3.7645","3.7645","3.7609","3.7609","3.7609","3.7609","3.7609","3.7609","4.8744","4.8744","4.8744","5.3561","5.3561","5.3561"
"940","3.7549","3.7549","3.7549","3.7592","3.7592","3.7592","3.7556","3.7556","3.7556","3.7556","3.7556","3.7556","4.8608","4.8608","4.8608","5.3429","5.3429","5.3429"
"950","3.7487","3.7487","3.7487","3.753","3.753","3.753","3.7494","3.7494","3.7494","3.7495","3.7495","3.7495","3.5213","3.5213","3.5213","5.3294","5.3294","5.3294"
"960","3.7434","3.7434","3.7434","3.7477","3.7477","3.7477","3.744","3.744","3.744","3.7442","3.7442","3.7442","3.5177","3.5177","3.5177","5.3164","5.3164","5.3164"
"970","3.7389","3.7389","3.7389","3.7432","3.7432","3.7432","3.7395","3.7395","3.7395","3.7397","3.7397","3.7397","3.5157","3.5157","3.5157","5.3043","5.3043","5.3043"
"980","3.7351","3.7351","3.7351","3.7394","3.7394","3.7394","3.7357","3.7357","3.7357","3.7359","3.7359","3.7359","3.5034","3.5034","3.5034","5.2915","5.2915","5.2915"
"990","3.7315","3.7315","3.7315","3.7358","3.7358","3.7358","3.732","3.732","3.732","3.7322","3.7322","3.7322","3.4993","3.4993","3.4993","4.0078","4.0078","4.0078"
"1000","3.7272","3.7272","3.7272","3.7315","3.7315","3.7315","3.7277","3.7277","3.7277","3.7279","3.7279","3.7279","3.5005","3.5005","3.5005","4.0034","4.0034","4.0034"
"1010","3.7241","3.7241","3.7241","3.7284","3.7284","3.7284","3.7246","3.7246","3.7246","3.7248","3.7248","3.7248","3.4983","3.4983","3.4983","4.0044","4.0044","4.0044"
"1020","3.7195","3.7195","3.7195","3.7238","3.7238","3.7238","3.72","3.72","3.72","3.7202","3.7202","3.7202","3.4937","3.4937","3.4937","3.9962","3.9962","3.9962"
"1030","3.7151","3.7151","3.7151","3.7194","3.7194","3.7194","3.7156","3.7156","3.7156","3.7158","3.7158","3.7158","3.4945","3.4945","3.4945","3.9926","3.9926","3.9926"
"1040","3.7107","3.7107","3.7107","3.7151","3.7151","3.7151","3.7112","3.7112","3.7112","3.7114","3.7114","3.7114","3.4895","3.4895","3.4895","3.9888","3.9888","3.9888"
"1050","3.7067","3.7067","3.7067","3.711","3.711","3.711","3.7072","3.7072","3.7072","3.7074","3.7074","3.7074","3.4827","3.4827","3.4827","3.9859","3.9859","3.9859"
"1060","3.7027","3.7027","3.7027","3.707","3.707","3.707","3.7031","3.7031","3.7031","3.7033","3.7033","3.7033","3.4809","3.4809","3.4809","3.9839","3.9839","3.9839"
"1070","3.6977","3.6977","3.6977","3.7021","3.7021","3.7021","3.6981","3.6981","3.6981","3.6984","3.6984","3.6984","3.4786","3.4786","3.4786","3.981","3.981","3.981"
"1080","3.6942","3.6942","3.6942","3.6985","3.6985","3.6985","3.6945","3.6945","3.6945","3.6948","3.6948","3.6948","3.4742","3.4742","3.4742","3.9822","3.9822","3.9822"
"1090","3.6906","3.6906","3.6906","3.6949","3.6949","3.6949","3.6909","3.6909","3.6909","3.6912","3.6912","3.6912","3.4724","3.4724","3.4724","3.9759","3.9759","3.9759"
"1100","3.6862","3.6862","3.6862","3.6906","3.6906","3.6906","3.6866","3.6866","3.6866","3.6869","3.6869","3.6869","3.4698","3.4698","3.4698","3.9725","3.9725","3.9725"
"1110","3.683","3.683","3.683","3.6873","3.6873","3.6873","3.6833","3.6833","3.6833","3.6837","3.6837","3.6837","3.4695","3.4695","3.4695","3.9688","3.9688","3.9688"
"1120","3.6791","3.6791","3.6791","3.6834","3.6834","3.6834","3.6794","3.6794","3.6794","3.6797","3.6797","3.6797","3.4674","3.4674","3.4674","3.9671","3.9671","3.9671"
"1130","3.6764","3.6764","3.6764","3.6807","3.6807","3.6807","3.6767","3.6767","3.6767","3.6771","3.6771","3.6771","3.4642","3.4642","3.4642","3.9622","3.9622","3.9622"
"1140","3.6726","3.6726","3.6726","3.6769","3.6769","3.6769","3.6729","3.6729","3.6729","3.6733","3.6733","3.6733","3.4613","3.4613","3.4613","3.9571","3.9571","3.9571"
"1150","3.67","3.67","3.67","3.6743","3.6743","3.6743","3.6702","3.6702","3.6702","3.6706","3.6706","3.6706","3.4554","3.4554","3.4554","3.9562","3.9562","3.9562"
"1160","3.6664","3.6664","3.6664","3.6707","3.6707","3.6707","3.6667","3.6667","3.6667","3.6671","3.6671","3.6671","3.4525","3.4525","3.4525","3.9534","3.9534","3.9534"
"1170","3.662","3.662","3.662","3.6663","3.6663","3.6663","3.6622","3.6622","3.6622","3.6626","3.6626","3.6626","3.4493","3.4493","3.4493","3.9489","3.9489","3.9489"
"1180","3.6579","3.6579","3.6579","3.6622","3.6622","3.6622","3.6581","3.6581","3.6581","3.6585","3.6585","3.6585","3.4467","3.4467","3.4467","3.9459","3.9459","3.9459"
"1190","3.6552","3.6552","3.6552","3.6595","3.6595","3.6595","3.6554","3.6554","3.6554","3.6558","3.6558","3.6558","3.444","3.444","3.444","3.9413","3.9413","3.9413"
"1200","3.6527","3.6527","3.6527","3.657","3.657","3.657","3.6528","3.6528","3.6528","3.6533","3.6533","3.6533","3.4405","3.4405","3.4405","3.9376","3.9376","3.9376"
"1210","3.649","3.649","3.649","3.6533","3.6533","3.6533","3.6492","3.6492","3.6492","3.6497","3.6497","3.6497","3.4376","3.4376","3.4376","3.9341","3.9341","3.9341"
"1220","3.6455","3.6455","3.6455","3.6498","3.6498","3.6498","3.6456","3.6456","3.6456","3.6461","3.6461","3.6461","3.4347","3.4347","3.4347","3.9299","3.9299","3.9299"
"1230","3.6418","3.6418","3.6418","3.6461","3.6461","3.6461","3.6419","3.6419","3.6419","3.6424","3.6424","3.6424","3.4321","3.4321","3.4321","3.926","3.926","3.926"
