"Step","ruby-20231106_104248 - train_loss","ruby-20231106_104248 - train_loss__MIN","ruby-20231106_104248 - train_loss__MAX","php-20231102_160100 - train_loss","php-20231102_160100 - train_loss__MIN","php-20231102_160100 - train_loss__MAX","java-20231101_090754 - train_loss","java-20231101_090754 - train_loss__MIN","java-20231101_090754 - train_loss__MAX","go-20231031_120958 - train_loss","go-20231031_120958 - train_loss__MIN","go-20231031_120958 - train_loss__MAX","javascript-20231029_122314 - train_loss","javascript-20231029_122314 - train_loss__MIN","javascript-20231029_122314 - train_loss__MAX","python-20231028_204326 - train_loss","python-20231028_204326 - train_loss__MIN","python-20231028_204326 - train_loss__MAX"
"810","4.6638","4.6638","4.6638","4.892","4.892","4.892","4.894","4.894","4.894","2.6991","2.6991","2.6991","4.2757","4.2757","4.2757","4.4614","4.4614","4.4614"
"820","4.6527","4.6527","4.6527","4.8781","4.8781","4.8781","4.8819","4.8819","4.8819","2.7051","2.7051","2.7051","4.2636","4.2636","4.2636","4.45","4.45","4.45"
"830","4.6423","4.6423","4.6423","4.8637","4.8637","4.8637","4.8692","4.8692","4.8692","2.7073","2.7073","2.7073","4.2531","4.2531","4.2531","4.4389","4.4389","4.4389"
"840","4.6318","4.6318","4.6318","4.85","4.85","4.85","4.8574","4.8574","4.8574","2.7003","2.7003","2.7003","4.2422","4.2422","4.2422","4.4276","4.4276","4.4276"
"850","4.6214","4.6214","4.6214","4.8372","4.8372","4.8372","4.8448","4.8448","4.8448","2.6937","2.6937","2.6937","4.231","4.231","4.231","4.4168","4.4168","4.4168"
"860","4.6107","4.6107","4.6107","4.8241","4.8241","4.8241","4.8336","4.8336","4.8336","2.6992","2.6992","2.6992","4.2198","4.2198","4.2198","4.4058","4.4058","4.4058"
"870","4.6005","4.6005","4.6005","4.8108","4.8108","4.8108","4.8212","4.8212","4.8212","2.6978","2.6978","2.6978","4.2088","4.2088","4.2088","4.3951","4.3951","4.3951"
"880","4.59","4.59","4.59","4.798","4.798","4.798","4.8106","4.8106","4.8106","2.6986","2.6986","2.6986","4.1974","4.1974","4.1974","4.3841","4.3841","4.3841"
"890","4.5793","4.5793","4.5793","4.7844","4.7844","4.7844","4.7991","4.7991","4.7991","2.7001","2.7001","2.7001","4.1857","4.1857","4.1857","4.3741","4.3741","4.3741"
"900","4.5691","4.5691","4.5691","4.7722","4.7722","4.7722","4.7883","4.7883","4.7883","2.6985","2.6985","2.6985","4.1758","4.1758","4.1758","4.3637","4.3637","4.3637"
"910","4.5591","4.5591","4.5591","4.7599","4.7599","4.7599","4.7766","4.7766","4.7766","2.6978","2.6978","2.6978","4.1645","4.1645","4.1645","4.3537","4.3537","4.3537"
"920","4.5501","4.5501","4.5501","4.7476","4.7476","4.7476","4.766","4.766","4.766","2.6958","2.6958","2.6958","4.1543","4.1543","4.1543","4.3435","4.3435","4.3435"
